nidId,latitude,longitude,drainageArea,maxDischarge
KS01703,39.788438,-99.613757,,
AR00932,35.30333333,-94.335,,187
MO31552,37.72594738,-92.16867277,28,
SC00232,34.07078,-80.78585,12,
KS01309,38.755072999999996,-101.395201,,3400
KS01784,39.947368999999995,-97.73047,,
KS00499,38.794384,-96.978121,,
KS01517,37.387778,-95.224551,,
KS01555,39.932798,-99.697101,1.16,1310
KS02568,39.464569999999995,-101.362471,78,
KS01242,39.183042,-94.966063,,
KS01554,39.874885,-100.043828,0.91,1040
KS01984,39.7357554,-98.71288097,,
KS01710,39.983601,-99.249371,0.34,500
KS01331,38.488493,-95.982459,,939
CO01986,40.748335,-105.093897,0,0
MD00144,39.525,-75.82833,0.01,300
SC00242,34.429500000000004,-82.3481,,
GA02081,34.039937,-83.093079,1.34,0
WV08511,39.281389999999995,-80.92555556,0.67,
AR99995,35.124283,-90.981504,0,0
VT00291,44.63632202,-73.06417847,0.41000000000000003,
GA05866,34.454645,-84.268861,0.25,66
TX02415,33.108329999999995,-100.225,10.28,65812
GA05930,33.455247,-83.496328,0.2,160
OK30493,34.244444,-98.666667,0.45,5.7
OR00714,45.6443901,-121.2042465,2.13,220
OR00435,43.92758941,-118.3007507,34.300000000000004,1450
NY17092,43.07247222,-76.67747222,0.42,18
GA05765,31.865330999999998,-85.107584,0.11,134
NM00282,32.380739999999996,-106.74088,12.8,18250
NJ00276,40.91565,-74.75163333,62.4,292
NJ00469,41.12136666666667,-74.53593333,0.7000000000000001,62
NE00931,40.41009977,-96.68126973,0.4,708
NJ00127,40.91848333333333,-75.06461667,2.6,389
ND00023,46.874089999999995,-102.82419,3.8200000000000003,
NE01554,40.21188812,-97.07744838,4.8,792
NE00371,40.12021309,-96.38603581,0.46,400
ND00328,48.62833,-100.71833,14000,19267
ND00965,46.89439,-97.19472,,
MS02444,32.802482999999995,-89.250187,,
MA00505,42.636672,-72.247472,1.33,
MN01722,44.55491,-96.07312,1.1,
KY00204,37.441289999999995,-86.49809,3.22,
MD00411,38.926688,-76.558579,0.42,2850
MA00065,42.37527,-72.443428,1.5,
IL01127,41.846295999999995,-89.481357,8655,34000
IA02713,40.621300000000005,-95.6015,0.22,0
IA01725,42.2586,-95.984,0.38,0
FL00386,25.51,-80.43,0,420
CO00047,39.276679,-104.475569,2,8174
GA04352,34.536635,-85.476706,0.24,630
VT00101,42.88933563,-73.03820801,1.28,
GA05699,32.467582,-83.309279,0.19,210
SC02425,34.8146,-83.1137,,
PA00798,41.64305556,-76.32833333,1.61,
NM00435,35.121067,-106.708564,21,11515
