Species,Family,Common,FeedingGuild,Habitat,WaterType,Host,Migrant
Notemigonus crysoleucas,Cyprinidae,Golden shiner,GE,Pool,Either,Yes,null
Notropis atherinoides,Cyprinidae,Emerald shiner,IC,RRP,Either,Yes,null
Notropis bifrenatus,Cyprinidae,Bridle shiner,HE,Pool,Either,null,null
Notropis blennius,Cyprinidae,River shiner,IC,Pool,Either,Yes,null
Notropis heterodon,Cyprinidae,Blackchin shiner,IC,Pool,Either,Yes,null
Notropis heterolepis,Cyprinidae,Blacknose shiner,IC,Pool,Either,Yes,null
Notropis photogenis,Cyprinidae,Silver shiner,IC,RRP,Either,Yes,null
Notropis rubellus,Cyprinidae,Rosyface shiner,IC,RRP,Either,Yes,null
Notropis scepticus,Cyprinidae,Satinfin shiner,IC,RRP,SS,Yes,null
Notropis stramineus,Cyprinidae,Sand shiner,IC,Pool,Either,Yes,null
Notropis texanus,Cyprinidae,Weed shiner,IC,Pool,Either,null,null
Notropis volucellus,Cyprinidae,Mimic shiner,IC,RRP,Either,Yes,null
Noturus flavus,Ictaluridae,Stonecat,IN,BFS,either,null,null
Noturus gyrinus,Ictaluridae,Tadpole madtom,IN,BFS,either,null,null
Noturus insignis,Ictaluridae,Margined madtom,IN,BFS,either,null,null
Oncorhynchus mykiss,Salmonidae,Rainbow trout,CA,FS,Either,null,Fall
Oncorhynchus mykiss,Salmonidae,Rainbow trout,CA,FS,Either,null,Fall
Oncorhynchus tshawytscha,Salmonidae,Chinook salmon,CA,FS,Either,null,Summer-Fall
Opsopoeodus emiliae,Cyprinidae,Pugnose minnow,IC,Pool,Either,null,null
Osmerus mordax,Osmeridae,Rainbow smelt,OM,Pel,Either,null,Spring
Perca flavescens,Percidae,Yellow perch,CA,Lit,either,Yes,null
Percina caprodes,Percidae,Logperch,IN,BFS,Either,Yes,null
Percina crassa,Percidae,Piedmont darter,IN,BFS,SS,null,null
Percina maculata,Percidae,Blackside darter,IN,BFS,SS,Yes,null
Percopsis omiscomaycus,Percopsidae,Trout-perch,IN,BFS,either,null,Spring-Summer
Petromyzon marinus,Petromyzontiformes,Sea lamprey,PR,Ben,Either,null,Spring/Fall
Pimephales notatus,Cyprinidae,Bluntnose minnow,OM,RRP,Either,Yes,null
Pimephales promelas,Cyprinidae,Fathead minnow,IC,Pool,Either,Yes,null
Pomoxis annularis,Centrarchidae,White crappie,CA,Lit,either,Yes,null
Pomoxis nigromaculatus,Centrarchidae,Black crappie,CA,Lit,either,Yes,null
Pylodictis olivaris,Ictaluridae,Flathead catfish,GE,Ben,either,Yes,null
Rhinichthys atratulus,Cyprinidae,Blacknose dace,IC,RRP,SS,Yes,null
Rhinichthys cataractae,Cyprinidae,Longnose dace,IC,FS,SS,Yes,null
Salmo salar,Salmonidae,Atlantic salmon,CA,FS,Either,null,Spring
Salmo trutta,Salmonidae,Brown trout,CA,FS,Either,null,Fall
Sander canadensis,Percidae,Sauger,CA,Ben,BW,Yes,Spring
Sander vitreus,Percidae,Walleye,CA,Ben,BW,null,Spring
Semotilus atromaculatus,Cyprinidae,Creek chub,GE,Pool,SS,Yes,null
Semotilus corporalis,Cyprinidae,Fallfish,GE,RP,Either,null,null
Umbra limi,Umbridae,Central mudminnow,OM,Lit,Either,null,null
